data_boletim,data,t (dias),Casos Activos,Recuperados,Casos Novos,Casos Total,Dif. Casos Totais,Óbitos,V. Activa
06/04/2020,05/04/2020,1,3,0,,3,,,8
07/04/2020,06/04/2020,2,3,0,0,3,0,,0
08/04/2020,07/04/2020,3,4,0,1,4,1,,1
09/04/2020,08/04/2020,4,5,0,1,5,1,,3
10/04/2020,09/04/2020,5,5,0,0,5,0,,4
11/04/2020,10/04/2020,6,5,0,0,5,0,,4
12/04/2020,11/04/2020,7,7,0,2,7,2,,6
13/04/2020,12/04/2020,8,7,0,0,7,0,,10
14/04/2020,13/04/2020,9,7,0,0,7,0,,10
15/04/2020,14/04/2020,10,7,0,0,7,0,,10
16/04/2020,15/04/2020,11,,,,,,,
17/04/2020,16/04/2020,12,8,0,8,8,,,15
18/04/2020,17/04/2020,13,7,1,-1,8,0,,14
19/04/2020,18/04/2020,14,9,1,2,10,2,,14
20/04/2020,19/04/2020,15,10,1,1,11,1,,17
21/04/2020,20/04/2020,16,9,2,-1,11,0,,16
22/04/2020,21/04/2020,17,11,2,2,13,2,,16
23/04/2020,22/04/2020,18,11,3,0,13,0,,14
24/04/2020,23/04/2020,19,7,4,-4,13,0,,13
25/04/2020,24/04/2020,20,7,4,0,13,0,,13
26/04/2020,25/04/2020,21,7,4,0,13,0,,13
27/04/2020,26/04/2020,22,8,4,1,14,1,,20
28/04/2020,27/04/2020,23,10,4,2,16,2,,25
29/04/2020,28/04/2020,24,12,5,2,18,2,,24
30/04/2020,29/04/2020,25,10,7,-2,18,0,,24
01/05/2020,30/04/2020,26,10,7,0,18,0,,24
02/05/2020,01/05/2020,27,21,7,11,29,11,,40
03/05/2020,02/05/2020,28,21,7,0,29,0,,59
04/05/2020,03/05/2020,29,21,7,0,29,0,,61
05/05/2020,04/05/2020,30,26,7,5,34,5,1,79
06/05/2020,05/05/2020,31,32,7,6,40,6,1,91
07/05/2020,06/05/2020,32,38,7,6,46,6,1,105
08/05/2020,07/05/2020,33,40,7,2,48,2,1,115
09/05/2020,08/05/2020,34,41,7,1,49,1,1,106
10/05/2020,09/05/2020,35,41,7,0,49,0,1,106
11/05/2020,10/05/2020,36,43,7,2,51,2,1,106
12/05/2020,11/05/2020,37,45,8,2,54,3,1,
13/05/2020,12/05/2020,38,45,11,0,57,3,1,
14/05/2020,13/05/2020,39,47,11,2,59,2,1,
15/05/2020,14/05/2020,40,48,11,1,60,1,1,
16/05/2020,15/05/2020,41,50,11,2,62,2,1,
17/05/2020,16/05/2020,42,50,11,0,62,0,1,
18/05/2020,17/05/2020,43,50,11,0,62,0,1,
19/05/2020,18/05/2020,44,49,11,-1,62,0,2,
20/05/2020,19/05/2020,45,42,21,-7,65,3,2,
21/05/2020,20/05/2020,46,44,21,2,67,2,2,
22/05/2020,21/05/2020,47,47,21,3,70,3,2,
23/05/2020,22/05/2020,48,47,21,0,70,0,2,
24/05/2020,23/05/2020,49,49,21,2,72,2,2,
25/05/2020,24/05/2020,50,50,21,1,73,1,2,
26/05/2020,25/05/2020,51,48,23,-2,73,0,2,
27/05/2020,26/05/2020,52,51,24,3,77,4,2,
28/05/2020,27/05/2020,53,51,26,0,79,2,2,
29/05/2020,28/05/2020,54,53,27,2,82,3,2,
30/05/2020,29/05/2020,55,56,27,3,85,3,2,
31/05/2020,30/05/2020,56,61,27,5,90,5,2,
01/06/2020,31/05/2020,57,65,27,4,94,4,2,
02/06/2020,01/06/2020,58,66,31,1,99,5,2,
03/06/2020,02/06/2020,59,65,33,-1,100,1,2,
04/06/2020,03/06/2020,60,75,35,10,112,12,2,
05/06/2020,04/06/2020,61,78,34,3,114,2,2,
06/06/2020,05/06/2020,62,78,34,0,114,0,2,
07/06/2020,06/06/2020,63,84,34,6,120,6,2,
08/06/2020,07/06/2020,64,85,34,1,121,1,2,
09/06/2020,08/06/2020,65,91,34,6,127,6,2,
10/06/2020,09/06/2020,66,94,34,3,130,3,2,
11/06/2020,10/06/2020,67,94,34,0,130,0,2,
12/06/2020,11/06/2020,68,96,34,2,132,2,2,
13/06/2020,12/06/2020,69,97,34,1,133,1,2,
14/06/2020,13/06/2020,70,94,37,-3,133,0,2,
15/06/2020,14/06/2020,71,94,37,0,133,0,2,
16/06/2020,15/06/2020,72,87,44,-7,133,0,2,
17/06/2020,16/06/2020,73,78,56,-9,136,3,2,
18/06/2020,17/06/2020,74,63,71,-15,136,0,2,
19/06/2020,18/06/2020,75,60,82,-3,144,8,2,
20/06/2020,19/06/2020,76,58,84,-2,144,0,2,
21/06/2020,20/06/2020,77,57,85,-1,144,0,2,
22/06/2020,21/06/2020,78,61,85,4,148,4,2,
23/06/2020,22/06/2020,79,64,86,3,152,4,2,
24/06/2020,23/06/2020,80,62,88,-2,152,0,2,
25/06/2020,24/06/2020,81,40,111,-22,153,1,2,
26/06/2020,25/06/2020,82,41,111,1,154,1,2,
27/06/2020,26/06/2020,83,43,113,2,158,4,2,
28/06/2020,27/06/2020,84,43,113,0,158,0,2,
29/06/2020,28/06/2020,85,43,113,0,158,0,2,
30/06/2020,29/06/2020,86,42,113,-1,157,-1,2,
01/07/2020,30/06/2020,87,39,117,-3,158,1,2,
02/07/2020,01/07/2020,88,38,118,-1,158,0,2,
03/07/2020,02/07/2020,89,36,120,-2,158,0,2,
04/07/2020,03/07/2020,90,36,121,0,159,1,2,
05/07/2020,04/07/2020,91,35,123,-1,160,1,2,
06/07/2020,05/07/2020,92,36,123,1,161,1,2,
07/07/2020,06/07/2020,93,39,123,3,164,3,2,
08/07/2020,07/07/2020,94,40,123,1,165,1,2,
09/07/2020,08/07/2020,95,34,130,-6,166,1,2,
10/07/2020,09/07/2020,96,27,137,-7,166,0,2,
11/07/2020,10/07/2020,97,32,134,5,168,2,2,
12/07/2020,11/07/2020,98,24,140,-8,166,-2,2,
