data_boletim,start_date,end_date,t (dias),Casos Activos,Recuperados,Óbitos
15-abr-2022,7-abr-2022,14-abr-2022,740,326,3517,102
22-abr-2022,15-abr-2022,21-abr-2022,747,261,3582,104
29-abr-2022,22-abr-2022,28-abr-2022,754,235,3608,107
6-mai-2022,29-abr-2022,5-mai-2022,761,266,3639,107
13-mai-2022,6-mai-2022,12-mai-2022,768,426,3799,110
20-mai-2022,13-mai-2022,19-mai-2022,775,645,4018,112
27-mai-2022,20-mai-2022,26-mai-2022,782,,4663,
3-jun-2022,27-mai-2022,2-jun-2022,789,663,5326,114
10-jun-2022,3-jun-2022,9-jun-2022,796,720,5383,114
17-jun-2022,10-jun-2022,16-jun-2022,803,443,5660,115
24-jun-2022,17-jun-2022,23-jun-2022,810,296,5807,117
1-jul-2022,24-jun-2022,30-jun-2022,817,233,5870,117
8-jul-2022,1-jul-2022,7-jul-2022,824,171,5932,117
15-jul-2022,8-jul-2022,14-jul-2022,831,,6103,
22-jul-2022,15-jul-2022,21-jul-2022,838,61,6164,123
